Baseline_ID,Release_ID,Artifact_ID,Artifact_Type,Document_ID,Project,Membership_Source
BL-REL-00041,REL-00041,INP-00001,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00045,REL-00045,INP-00001,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00043,REL-00043,INP-00002,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00009,REL-00009,INP-00003,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00043,REL-00043,INP-00003,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00044,REL-00044,INP-00003,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00028,REL-00028,INP-00004,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00035,REL-00035,INP-00004,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00001,REL-00001,INP-00005,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00026,REL-00026,INP-00005,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00033,REL-00033,INP-00005,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00003,REL-00003,INP-00006,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00008,REL-00008,INP-00006,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00011,REL-00011,INP-00006,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00013,REL-00013,INP-00006,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,INP-00006,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00001,REL-00001,INP-00007,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00009,REL-00009,INP-00007,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00011,REL-00011,INP-00007,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00019,REL-00019,INP-00007,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00030,REL-00030,INP-00007,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
