ID,Document_ID,Type,Summary,Text,State,Project,Spawns,Covers
REL-00001,,Release,Integrated automotive controls release 1.0,,Active,Project NOVA / Variant EV-X,,"CR-00051, CR-00107, CR-00146, CR-00150, CR-00195, CR-00284, CR-00290, CR-00292, CR-00327, CR-00395, CR-00422, CR-00454, CR-00469, CR-00526, CR-00547, CR-00646, CR-00723, CR-00734, CR-00739, CR-00744, PR-00002, PR-00003, PR-00019, PR-00053, PR-00112, PR-00170, PR-00203, PR-00283, PR-00321, PR-00360, PR-00400, PR-00476"
REL-00002,,Release,Integrated automotive controls release 1.1,,Released,Project NOVA / Variant EV-X,,"CR-00098, CR-00178, CR-00231, CR-00301, CR-00332, CR-00370, CR-00453, CR-00460, CR-00470, CR-00504, CR-00563, CR-00574, CR-00596, CR-00654, CR-00746, CR-00747, PR-00020, PR-00070, PR-00107, PR-00123, PR-00152, PR-00202, PR-00229, PR-00249, PR-00260, PR-00276, PR-00313, PR-00451"
REL-00003,,Release,Integrated automotive controls release 1.2,,Released,Project NOVA / Variant EV-X,,"CR-00008, CR-00089, CR-00123, CR-00138, CR-00141, CR-00182, CR-00247, CR-00311, CR-00320, CR-00409, CR-00434, CR-00435, CR-00480, CR-00492, CR-00609, CR-00667, CR-00678, CR-00708, PR-00051, PR-00068, PR-00175, PR-00236, PR-00301, PR-00401"
REL-00004,,Release,Integrated automotive controls release 1.3,,Active,Project NOVA / Variant EV-X,,"CR-00011, CR-00049, CR-00333, CR-00354, CR-00408, CR-00420, CR-00431, CR-00461, CR-00534, CR-00645, CR-00680, CR-00745, PR-00069, PR-00143, PR-00145, PR-00237, PR-00243, PR-00250, PR-00395, PR-00422"
REL-00005,,Release,Integrated automotive controls release 1.4,,Completed,Project NOVA / Variant EV-X,,"CR-00021, CR-00118, CR-00122, CR-00255, CR-00313, CR-00331, CR-00353, CR-00445, CR-00496, CR-00524, CR-00725, PR-00113, PR-00180, PR-00222, PR-00271, PR-00376"
REL-00006,,Release,Integrated automotive controls release 1.5,,Released,Project NOVA / Variant EV-X,,"CR-00033, CR-00059, CR-00066, CR-00114, CR-00318, CR-00388, CR-00476, CR-00485, CR-00544, CR-00557, CR-00588, CR-00620, CR-00663, CR-00674, PR-00014, PR-00022, PR-00059, PR-00085, PR-00088, PR-00090, PR-00157, PR-00205, PR-00251, PR-00259, PR-00261, PR-00274, PR-00317, PR-00339, PR-00391, PR-00434, PR-00458, PR-00471"
REL-00007,,Release,Integrated automotive controls release 1.6,,Released,Project NOVA / Variant EV-X,,"CR-00004, CR-00079, CR-00124, CR-00160, CR-00240, CR-00286, CR-00342, CR-00361, CR-00404, CR-00405, CR-00416, CR-00462, CR-00487, CR-00583, CR-00611, CR-00612, PR-00081, PR-00086, PR-00144, PR-00209, PR-00217, PR-00315, PR-00349, PR-00403, PR-00461"
REL-00008,,Release,Integrated automotive controls release 1.7,,Released,Project NOVA / Variant EV-X,,"CR-00007, CR-00078, CR-00140, CR-00168, CR-00214, CR-00225, CR-00239, CR-00294, CR-00503, CR-00516, CR-00518, CR-00607, CR-00616, CR-00665, CR-00711, CR-00763, PR-00015, PR-00017, PR-00079, PR-00219, PR-00235, PR-00432, PR-00460"
REL-00009,,Release,Integrated automotive controls release 1.8,,Active,Project NOVA / Variant EV-X,,"CR-00012, CR-00031, CR-00091, CR-00147, CR-00158, CR-00222, CR-00305, CR-00307, CR-00326, CR-00444, CR-00465, CR-00540, CR-00585, CR-00598, CR-00610, CR-00640, CR-00673, CR-00696, PR-00030, PR-00147, PR-00153, PR-00162, PR-00189, PR-00212, PR-00252, PR-00266, PR-00275, PR-00352, PR-00374, PR-00415"
REL-00010,,Release,Integrated automotive controls release 1.9,,Released,Project NOVA / Variant EV-X,,"CR-00152, CR-00363, CR-00364, CR-00378, CR-00391, CR-00424, CR-00432, CR-00500, CR-00535, CR-00543, CR-00548, CR-00558, CR-00721, CR-00733, PR-00028, PR-00102, PR-00106, PR-00140, PR-00161, PR-00171, PR-00174, PR-00256, PR-00306, PR-00332, PR-00373, PR-00413, PR-00431, PR-00433, PR-00473"
REL-00011,,Release,Integrated automotive controls release 2.0,,Active,Project NOVA / Variant EV-X,,"CR-00099, CR-00310, CR-00315, CR-00345, CR-00430, CR-00483, CR-00484, CR-00521, CR-00621, CR-00710, CR-00724, CR-00726, PR-00197, PR-00206, PR-00345, PR-00346, PR-00393, PR-00446"
REL-00012,,Release,Integrated automotive controls release 2.1,,Active,Project NOVA / Variant EV-X,,"CR-00075, CR-00096, CR-00112, CR-00197, CR-00198, CR-00303, CR-00385, CR-00386, CR-00393, CR-00402, CR-00502, CR-00541, CR-00551, CR-00571, CR-00577, CR-00720, PR-00224, PR-00241, PR-00264, PR-00305, PR-00355, PR-00450"
REL-00013,,Release,Integrated automotive controls release 2.2,,Active,Project NOVA / Variant EV-X,,"CR-00142, CR-00230, CR-00248, CR-00296, CR-00410, CR-00448, CR-00477, CR-00691, CR-00697, CR-00727, PR-00034, PR-00108, PR-00194, PR-00265, PR-00468"
REL-00014,,Release,Integrated automotive controls release 2.3,,Released,Project NOVA / Variant EV-X,,"CR-00014, CR-00018, CR-00027, CR-00034, CR-00045, CR-00130, CR-00149, CR-00156, CR-00177, CR-00250, CR-00262, CR-00277, CR-00344, CR-00384, CR-00401, CR-00419, CR-00472, CR-00488, CR-00552, CR-00575, CR-00641, CR-00740, CR-00743, PR-00115, PR-00327, PR-00398, PR-00420"
REL-00015,,Release,Integrated automotive controls release 2.4,,Active,Project NOVA / Variant EV-X,,"CR-00173, CR-00272, CR-00276, CR-00287, CR-00317, CR-00536, CR-00584, CR-00658, CR-00700, CR-00713, PR-00076, PR-00164, PR-00191, PR-00199, PR-00242, PR-00292, PR-00309, PR-00479, PR-00482"
REL-00016,,Release,Integrated automotive controls release 2.5,,Completed,Project NOVA / Variant EV-X,,"CR-00044, CR-00047, CR-00065, CR-00071, CR-00085, CR-00093, CR-00109, CR-00216, CR-00349, CR-00440, CR-00464, CR-00530, CR-00754, CR-00761, PR-00029, PR-00067, PR-00077, PR-00083, PR-00118, PR-00254, PR-00319, PR-00335, PR-00417, PR-00475"
REL-00017,,Release,Integrated automotive controls release 2.6,,Released,Project NOVA / Variant EV-X,,"CR-00116, CR-00117, CR-00137, CR-00151, CR-00161, CR-00163, CR-00186, CR-00285, CR-00309, CR-00312, CR-00381, CR-00397, CR-00505, CR-00528, CR-00633, CR-00653, PR-00016, PR-00064, PR-00099, PR-00110, PR-00130, PR-00184, PR-00245, PR-00279, PR-00296, PR-00333, PR-00438, PR-00448"
